,Acquisition,Subject,Session,Task,Run,Contrast,Path,Mean VTA t,Median VTA t,Scan,Task Category,Frequencies,Frequency,Durations,Duration,Pulse Width,Pulse Widths
34,EPI,6575,ofM,CogBr,0,CBV,/root/.scratch/opfvta/l1/sub-6575/ses-ofM/sub-6575_ses-ofM_task-CogBr_acq-EPI_run-0_desc-tstat_cbv.nii.gz,3.6273935,2.9761567,6575:ofM:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
35,EPI,6575,ofMr1,CogBr,1,CBV,/root/.scratch/opfvta/l1/sub-6575/ses-ofMr1/sub-6575_ses-ofMr1_task-CogBr_acq-EPI_run-1_desc-tstat_cbv.nii.gz,1.1651735,1.0837374,6575:ofMr1:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
36,EPI,6575,ofMr1,CogP,0,CBV,/root/.scratch/opfvta/l1/sub-6575/ses-ofMr1/sub-6575_ses-ofMr1_task-CogP_acq-EPI_run-0_desc-tstat_cbv.nii.gz,0.43246305,0.07613805,6575:ofMr1:CBV,Phasic,25.0,25.0,0.8,0.8,0.005,0.005
37,EPI,6576,ofM,CogBr,0,CBV,/root/.scratch/opfvta/l1/sub-6576/ses-ofM/sub-6576_ses-ofM_task-CogBr_acq-EPI_run-0_desc-tstat_cbv.nii.gz,2.506893,2.2491417,6576:ofM:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
38,EPI,6576,ofM,JPogP,1,CBV,/root/.scratch/opfvta/l1/sub-6576/ses-ofM/sub-6576_ses-ofM_task-JPogP_acq-EPI_run-1_desc-tstat_cbv.nii.gz,1.0205166,0.94123495,6576:ofM:CBV,Phasic,20.0,20.0,1.0,1.0,0.005,0.005
39,EPI,6576,ofMr1,CogBr,1,CBV,/root/.scratch/opfvta/l1/sub-6576/ses-ofMr1/sub-6576_ses-ofMr1_task-CogBr_acq-EPI_run-1_desc-tstat_cbv.nii.gz,0.51311237,0.6423607,6576:ofMr1:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
40,EPI,6576,ofMr1,CogP,0,CBV,/root/.scratch/opfvta/l1/sub-6576/ses-ofMr1/sub-6576_ses-ofMr1_task-CogP_acq-EPI_run-0_desc-tstat_cbv.nii.gz,1.0251787,1.2209535,6576:ofMr1:CBV,Phasic,25.0,25.0,0.8,0.8,0.005,0.005
41,EPI,6578,ofM,CogBr,1,CBV,/root/.scratch/opfvta/l1/sub-6578/ses-ofM/sub-6578_ses-ofM_task-CogBr_acq-EPI_run-1_desc-tstat_cbv.nii.gz,3.7575793,3.259922,6578:ofM:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
42,EPI,6578,ofM,JPogP,0,CBV,/root/.scratch/opfvta/l1/sub-6578/ses-ofM/sub-6578_ses-ofM_task-JPogP_acq-EPI_run-0_desc-tstat_cbv.nii.gz,-0.03823293,-0.39610255,6578:ofM:CBV,Phasic,20.0,20.0,1.0,1.0,0.005,0.005
43,EPI,6578,ofMr1,CogBr,1,CBV,/root/.scratch/opfvta/l1/sub-6578/ses-ofMr1/sub-6578_ses-ofMr1_task-CogBr_acq-EPI_run-1_desc-tstat_cbv.nii.gz,1.7197907,1.5802004,6578:ofMr1:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
44,EPI,6578,ofMr1,CogP,0,CBV,/root/.scratch/opfvta/l1/sub-6578/ses-ofMr1/sub-6578_ses-ofMr1_task-CogP_acq-EPI_run-0_desc-tstat_cbv.nii.gz,0.22623046,0.38956192,6578:ofMr1:CBV,Phasic,25.0,25.0,0.8,0.8,0.005,0.005
45,EPI,6582,ofMr1,CogBr,0,CBV,/root/.scratch/opfvta/l1/sub-6582/ses-ofMr1/sub-6582_ses-ofMr1_task-CogBr_acq-EPI_run-0_desc-tstat_cbv.nii.gz,0.85711086,0.38403934,6582:ofMr1:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
46,EPI,6586,ofM,CogBr,1,CBV,/root/.scratch/opfvta/l1/sub-6586/ses-ofM/sub-6586_ses-ofM_task-CogBr_acq-EPI_run-1_desc-tstat_cbv.nii.gz,5.6911907,5.90915,6586:ofM:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
47,EPI,6586,ofM,JPogP,0,CBV,/root/.scratch/opfvta/l1/sub-6586/ses-ofM/sub-6586_ses-ofM_task-JPogP_acq-EPI_run-0_desc-tstat_cbv.nii.gz,-0.108146876,-0.20396148,6586:ofM:CBV,Phasic,20.0,20.0,1.0,1.0,0.005,0.005
48,EPI,6587,ofM,CogBr,1,CBV,/root/.scratch/opfvta/l1/sub-6587/ses-ofM/sub-6587_ses-ofM_task-CogBr_acq-EPI_run-1_desc-tstat_cbv.nii.gz,4.1436462,4.622968,6587:ofM:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
49,EPI,6587,ofM,JPogP,0,CBV,/root/.scratch/opfvta/l1/sub-6587/ses-ofM/sub-6587_ses-ofM_task-JPogP_acq-EPI_run-0_desc-tstat_cbv.nii.gz,0.69398004,0.6573649,6587:ofM:CBV,Phasic,20.0,20.0,1.0,1.0,0.005,0.005
50,EPI,6587,ofMr1,CogMwf,0,CBV,/root/.scratch/opfvta/l1/sub-6587/ses-ofMr1/sub-6587_ses-ofMr1_task-CogMwf_acq-EPI_run-0_desc-tstat_cbv.nii.gz,4.819072,5.0224514,6587:ofMr1:CBV,Block,"15.0,25.0",20.0,20.0,20.0,0.0075,"0.005,0.01"
51,EPI,6588,ofM,CogBr,1,CBV,/root/.scratch/opfvta/l1/sub-6588/ses-ofM/sub-6588_ses-ofM_task-CogBr_acq-EPI_run-1_desc-tstat_cbv.nii.gz,2.467667,2.0420609,6588:ofM:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
52,EPI,6588,ofM,JPogP,0,CBV,/root/.scratch/opfvta/l1/sub-6588/ses-ofM/sub-6588_ses-ofM_task-JPogP_acq-EPI_run-0_desc-tstat_cbv.nii.gz,-0.98822814,-1.0344564,6588:ofM:CBV,Phasic,20.0,20.0,1.0,1.0,0.005,0.005
53,EPI,6588,ofMr1,CogBr,1,CBV,/root/.scratch/opfvta/l1/sub-6588/ses-ofMr1/sub-6588_ses-ofMr1_task-CogBr_acq-EPI_run-1_desc-tstat_cbv.nii.gz,0.5129669,0.4016332,6588:ofMr1:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
54,EPI,6588,ofMr1,CogP,0,CBV,/root/.scratch/opfvta/l1/sub-6588/ses-ofMr1/sub-6588_ses-ofMr1_task-CogP_acq-EPI_run-0_desc-tstat_cbv.nii.gz,0.0041872794,-0.048391752,6588:ofMr1:CBV,Phasic,25.0,25.0,0.8,0.8,0.005,0.005
55,EPI,6589,ofM,CogBr,1,CBV,/root/.scratch/opfvta/l1/sub-6589/ses-ofM/sub-6589_ses-ofM_task-CogBr_acq-EPI_run-1_desc-tstat_cbv.nii.gz,2.4855044,2.5105314,6589:ofM:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
56,EPI,6589,ofM,JPogP,0,CBV,/root/.scratch/opfvta/l1/sub-6589/ses-ofM/sub-6589_ses-ofM_task-JPogP_acq-EPI_run-0_desc-tstat_cbv.nii.gz,0.47092664,0.50347155,6589:ofM:CBV,Phasic,20.0,20.0,1.0,1.0,0.005,0.005
57,EPI,6589,ofMr1,CogBr,1,CBV,/root/.scratch/opfvta/l1/sub-6589/ses-ofMr1/sub-6589_ses-ofMr1_task-CogBr_acq-EPI_run-1_desc-tstat_cbv.nii.gz,0.25872374,0.08653751,6589:ofMr1:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
58,EPI,6589,ofMr1,CogP,0,CBV,/root/.scratch/opfvta/l1/sub-6589/ses-ofMr1/sub-6589_ses-ofMr1_task-CogP_acq-EPI_run-0_desc-tstat_cbv.nii.gz,1.032026,0.9337145,6589:ofMr1:CBV,Phasic,25.0,25.0,0.8,0.8,0.005,0.005
59,EPI,6590,ofM,CogBm,1,CBV,/root/.scratch/opfvta/l1/sub-6590/ses-ofM/sub-6590_ses-ofM_task-CogBm_acq-EPI_run-1_desc-tstat_cbv.nii.gz,3.2336986,2.437899,6590:ofM:CBV,Block,20.0,20.0,"8.0,10.0,12.0,14.0,16.0,28.0,20.0,22.0",16.25,0.005,0.005
60,EPI,6590,ofM,CogP,0,CBV,/root/.scratch/opfvta/l1/sub-6590/ses-ofM/sub-6590_ses-ofM_task-CogP_acq-EPI_run-0_desc-tstat_cbv.nii.gz,0.91670215,0.7305829,6590:ofM:CBV,Phasic,25.0,25.0,0.8,0.8,0.005,0.005
61,EPI,6591,ofM,CogBm,0,CBV,/root/.scratch/opfvta/l1/sub-6591/ses-ofM/sub-6591_ses-ofM_task-CogBm_acq-EPI_run-0_desc-tstat_cbv.nii.gz,4.8222337,4.144581,6591:ofM:CBV,Block,20.0,20.0,"8.0,10.0,12.0,14.0,16.0,28.0,20.0,22.0",16.25,0.005,0.005
62,EPI,6591,ofM,CogP,1,CBV,/root/.scratch/opfvta/l1/sub-6591/ses-ofM/sub-6591_ses-ofM_task-CogP_acq-EPI_run-1_desc-tstat_cbv.nii.gz,-0.97104955,-1.1551969,6591:ofM:CBV,Phasic,25.0,25.0,0.8,0.8,0.005,0.005
63,EPI,6592,ofM,CogBr,0,CBV,/root/.scratch/opfvta/l1/sub-6592/ses-ofM/sub-6592_ses-ofM_task-CogBr_acq-EPI_run-0_desc-tstat_cbv.nii.gz,3.447573,3.3685055,6592:ofM:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
64,EPI,6592,ofMr1,CogMwf,1,CBV,/root/.scratch/opfvta/l1/sub-6592/ses-ofMr1/sub-6592_ses-ofMr1_task-CogMwf_acq-EPI_run-1_desc-tstat_cbv.nii.gz,2.307501,2.3446867,6592:ofMr1:CBV,Block,"15.0,25.0",20.0,20.0,20.0,0.0075,"0.005,0.01"
65,EPI,6593,ofM,CogBr,1,CBV,/root/.scratch/opfvta/l1/sub-6593/ses-ofM/sub-6593_ses-ofM_task-CogBr_acq-EPI_run-1_desc-tstat_cbv.nii.gz,0.597054,0.28566408,6593:ofM:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
66,EPI,6593,ofM,CogP,0,CBV,/root/.scratch/opfvta/l1/sub-6593/ses-ofM/sub-6593_ses-ofM_task-CogP_acq-EPI_run-0_desc-tstat_cbv.nii.gz,-0.18372738,-0.17209905,6593:ofM:CBV,Phasic,25.0,25.0,0.8,0.8,0.005,0.005
67,EPI,6639,ofM,CogBm,0,CBV,/root/.scratch/opfvta/l1/sub-6639/ses-ofM/sub-6639_ses-ofM_task-CogBm_acq-EPI_run-0_desc-tstat_cbv.nii.gz,4.211816,4.2909117,6639:ofM:CBV,Block,20.0,20.0,"8.0,10.0,12.0,14.0,16.0,28.0,20.0,22.0",16.25,0.005,0.005
68,EPI,6639,ofM,CogP,1,CBV,/root/.scratch/opfvta/l1/sub-6639/ses-ofM/sub-6639_ses-ofM_task-CogP_acq-EPI_run-1_desc-tstat_cbv.nii.gz,-2.1929293,-1.8237035,6639:ofM:CBV,Phasic,25.0,25.0,0.8,0.8,0.005,0.005
69,EPI,6642,ofM,CogBr,0,CBV,/root/.scratch/opfvta/l1/sub-6642/ses-ofM/sub-6642_ses-ofM_task-CogBr_acq-EPI_run-0_desc-tstat_cbv.nii.gz,7.3703785,7.806715,6642:ofM:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
70,EPI,6642,ofM,CogP,1,CBV,/root/.scratch/opfvta/l1/sub-6642/ses-ofM/sub-6642_ses-ofM_task-CogP_acq-EPI_run-1_desc-tstat_cbv.nii.gz,-1.136809,-1.8299576,6642:ofM:CBV,Phasic,25.0,25.0,0.8,0.8,0.005,0.005
71,EPI,6643,ofM,CogBm,1,CBV,/root/.scratch/opfvta/l1/sub-6643/ses-ofM/sub-6643_ses-ofM_task-CogBm_acq-EPI_run-1_desc-tstat_cbv.nii.gz,3.626578,3.7806902,6643:ofM:CBV,Block,20.0,20.0,"8.0,10.0,12.0,14.0,16.0,28.0,20.0,22.0",16.25,0.005,0.005
72,EPI,6643,ofM,CogP,0,CBV,/root/.scratch/opfvta/l1/sub-6643/ses-ofM/sub-6643_ses-ofM_task-CogP_acq-EPI_run-0_desc-tstat_cbv.nii.gz,1.7185934,1.660934,6643:ofM:CBV,Phasic,25.0,25.0,0.8,0.8,0.005,0.005
73,EPI,6654,ofMr1,CogBr,0,CBV,/root/.scratch/opfvta/l1/sub-6654/ses-ofMr1/sub-6654_ses-ofMr1_task-CogBr_acq-EPI_run-0_desc-tstat_cbv.nii.gz,1.7226404,2.1574688,6654:ofMr1:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
74,EPI,6655,ofM,CogB,0,CBV,/root/.scratch/opfvta/l1/sub-6655/ses-ofM/sub-6655_ses-ofM_task-CogB_acq-EPI_run-0_desc-tstat_cbv.nii.gz,0.5723615,0.5589857,6655:ofM:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
75,EPI,6655,ofMr1,CogBr,0,CBV,/root/.scratch/opfvta/l1/sub-6655/ses-ofMr1/sub-6655_ses-ofMr1_task-CogBr_acq-EPI_run-0_desc-tstat_cbv.nii.gz,-0.049702566,-0.12719333,6655:ofMr1:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
