,Acquisition,Subject,Session,Task,Run,Contrast,Path,Mean VTA t,Median VTA t,Scan,Task Category,Frequencies,Frequency,Durations,Duration,Pulse Width,Pulse Widths
39,EPI,6576,ofMr1,CogBr,1,CBV,/root/.scratch/opfvta/l1/sub-6576/ses-ofMr1/sub-6576_ses-ofMr1_task-CogBr_acq-EPI_run-1_desc-tstat_cbv.nii.gz,0.76102823,0.5892186,6576:ofMr1:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
40,EPI,6576,ofMr1,CogP,0,CBV,/root/.scratch/opfvta/l1/sub-6576/ses-ofMr1/sub-6576_ses-ofMr1_task-CogP_acq-EPI_run-0_desc-tstat_cbv.nii.gz,0.98572284,1.0924796,6576:ofMr1:CBV,Phasic,25.0,25.0,0.8,0.8,0.005,0.005
41,EPI,6578,ofM,CogBr,1,CBV,/root/.scratch/opfvta/l1/sub-6578/ses-ofM/sub-6578_ses-ofM_task-CogBr_acq-EPI_run-1_desc-tstat_cbv.nii.gz,3.5380495,3.4300141,6578:ofM:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
42,EPI,6578,ofM,JPogP,0,CBV,/root/.scratch/opfvta/l1/sub-6578/ses-ofM/sub-6578_ses-ofM_task-JPogP_acq-EPI_run-0_desc-tstat_cbv.nii.gz,-0.4528011,-0.32138103,6578:ofM:CBV,Phasic,20.0,20.0,1.0,1.0,0.005,0.005
43,EPI,6578,ofMr1,CogBr,1,CBV,/root/.scratch/opfvta/l1/sub-6578/ses-ofMr1/sub-6578_ses-ofMr1_task-CogBr_acq-EPI_run-1_desc-tstat_cbv.nii.gz,1.8724389,1.722739,6578:ofMr1:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
44,EPI,6578,ofMr1,CogP,0,CBV,/root/.scratch/opfvta/l1/sub-6578/ses-ofMr1/sub-6578_ses-ofMr1_task-CogP_acq-EPI_run-0_desc-tstat_cbv.nii.gz,0.25161615,0.39291587,6578:ofMr1:CBV,Phasic,25.0,25.0,0.8,0.8,0.005,0.005
45,EPI,6582,ofMr1,CogBr,0,CBV,/root/.scratch/opfvta/l1/sub-6582/ses-ofMr1/sub-6582_ses-ofMr1_task-CogBr_acq-EPI_run-0_desc-tstat_cbv.nii.gz,0.98951936,0.54877037,6582:ofMr1:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
46,EPI,6586,ofM,CogBr,1,CBV,/root/.scratch/opfvta/l1/sub-6586/ses-ofM/sub-6586_ses-ofM_task-CogBr_acq-EPI_run-1_desc-tstat_cbv.nii.gz,6.116419,6.2085123,6586:ofM:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
47,EPI,6586,ofM,JPogP,0,CBV,/root/.scratch/opfvta/l1/sub-6586/ses-ofM/sub-6586_ses-ofM_task-JPogP_acq-EPI_run-0_desc-tstat_cbv.nii.gz,-0.062949926,-0.11618167,6586:ofM:CBV,Phasic,20.0,20.0,1.0,1.0,0.005,0.005
48,EPI,6587,ofM,CogBr,1,CBV,/root/.scratch/opfvta/l1/sub-6587/ses-ofM/sub-6587_ses-ofM_task-CogBr_acq-EPI_run-1_desc-tstat_cbv.nii.gz,4.118083,4.4715567,6587:ofM:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
49,EPI,6587,ofM,JPogP,0,CBV,/root/.scratch/opfvta/l1/sub-6587/ses-ofM/sub-6587_ses-ofM_task-JPogP_acq-EPI_run-0_desc-tstat_cbv.nii.gz,0.88010126,0.7474988,6587:ofM:CBV,Phasic,20.0,20.0,1.0,1.0,0.005,0.005
50,EPI,6587,ofMr1,CogMwf,0,CBV,/root/.scratch/opfvta/l1/sub-6587/ses-ofMr1/sub-6587_ses-ofMr1_task-CogMwf_acq-EPI_run-0_desc-tstat_cbv.nii.gz,5.0309343,4.4654245,6587:ofMr1:CBV,Block,"15.0,25.0",20.0,20.0,20.0,0.0075,"0.005,0.01"
51,EPI,6588,ofM,CogBr,1,CBV,/root/.scratch/opfvta/l1/sub-6588/ses-ofM/sub-6588_ses-ofM_task-CogBr_acq-EPI_run-1_desc-tstat_cbv.nii.gz,2.4617586,2.1043706,6588:ofM:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
