,Acquisition,Subject,Session,Task,Run,Contrast,Path,Mean VTA t,Median VTA t,Scan,Task Category,Frequencies,Frequency,Durations,Duration,Pulse Width,Pulse Widths
10,EPI,6259,ofM,CogB,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6259/ses-ofM/sub-6259_ses-ofM_task-CogB_acq-EPI_run-0_desc-tstat_cbv.nii.gz,2.103741,2.6348708,6259:ofM:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
11,EPI,6259,ofMr1,CogB,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-6259/ses-ofMr1/sub-6259_ses-ofMr1_task-CogB_acq-EPI_run-1_desc-tstat_cbv.nii.gz,1.9207416,2.0438113,6259:ofMr1:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
12,EPI,6259,ofMr1,JPogP,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6259/ses-ofMr1/sub-6259_ses-ofMr1_task-JPogP_acq-EPI_run-0_desc-tstat_cbv.nii.gz,-0.47322083,-0.173405,6259:ofMr1:CBV,Phasic,20.0,20.0,1.0,1.0,0.005,0.005
13,EPI,6260,ofM,CogB,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6260/ses-ofM/sub-6260_ses-ofM_task-CogB_acq-EPI_run-0_desc-tstat_cbv.nii.gz,1.6167846,1.55811,6260:ofM:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
14,EPI,6260,ofMr2,CogB,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-6260/ses-ofMr2/sub-6260_ses-ofMr2_task-CogB_acq-EPI_run-1_desc-tstat_cbv.nii.gz,0.8566277,1.1527047,6260:ofMr2:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
15,EPI,6260,ofMr2,JPogP,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6260/ses-ofMr2/sub-6260_ses-ofMr2_task-JPogP_acq-EPI_run-0_desc-tstat_cbv.nii.gz,0.6060188,0.6909986,6260:ofMr2:CBV,Phasic,20.0,20.0,1.0,1.0,0.005,0.005
16,EPI,6467,ofM,CogB,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-6467/ses-ofM/sub-6467_ses-ofM_task-CogB_acq-EPI_run-1_desc-tstat_cbv.nii.gz,-0.20512319,-0.03606523,6467:ofM:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
17,EPI,6467,ofM,JPogP,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6467/ses-ofM/sub-6467_ses-ofM_task-JPogP_acq-EPI_run-0_desc-tstat_cbv.nii.gz,-0.48464823,-0.95294,6467:ofM:CBV,Phasic,20.0,20.0,1.0,1.0,0.005,0.005
18,EPI,6468,ofM,CogB,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-6468/ses-ofM/sub-6468_ses-ofM_task-CogB_acq-EPI_run-1_desc-tstat_cbv.nii.gz,0.4800456,0.57665193,6468:ofM:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
19,EPI,6468,ofM,JPogP,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6468/ses-ofM/sub-6468_ses-ofM_task-JPogP_acq-EPI_run-0_desc-tstat_cbv.nii.gz,-0.29748365,-0.010873174,6468:ofM:CBV,Phasic,20.0,20.0,1.0,1.0,0.005,0.005
20,EPI,6471,ofM,CogBr,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6471/ses-ofM/sub-6471_ses-ofM_task-CogBr_acq-EPI_run-0_desc-tstat_cbv.nii.gz,0.7140425,0.69026005,6471:ofM:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
